INSERT INTO public.car_info (brand, model, body_style, engine_capacity, engine_power, gear_box, fuel, color, price_per_day) VALUES
('Volvo', 'V60', 'Kombi', 3.6, 100, 'manuálna', 'benzín', 'bordová', 61),
('Volvo', 'V60', 'Kombi', 2.1, 204, 'manuálna', 'benzín', 'žltá', 73),
('Volvo', 'V50', 'Kombi', 3.3, 250, 'manuálna', 'LPG', 'zelená', 21),
('Volvo', 'V50', 'Kombi', 2.7, 116, 'automatická', 'LPG', 'bordová', 120),
('Volvo', 'V50', 'Kombi', 3, 97, 'manuálna', 'diesel', 'žltá', 20),
('Volvo', 'V50', 'Kombi', 3.4, 124, 'automatická', 'LPG', 'tmavomodrá', 50),
('Volvo', 'V50', 'Kombi', 2.5, 134, 'manuálna', 'benzín', 'karbónová', 40),
('Volvo', 'V40', 'Kombi', 2.4, 190, 'manuálna', 'LPG', 'èervená', 109),
('Volvo', 'V40', 'Kombi', 2, 157, 'manuálna', 'benzín', 'bronzová', 67),
('Volvo', 'V40', 'Kombi', 2.7, 157, 'automatická', 'benzín', 'zlatá', 97),
('Volvo', 'V40', 'Kombi', 3.1, 91, 'automatická', 'benzín', 'biela', 101),
('Volvo', 'V40', 'Kombi', 3.1, 136, 'manuálna', 'benzín', 'karbónová', 62),
('Volvo', 'S90', 'Sedan', 2.2, 189, 'automatická', 'LPG', 'modrá', 36),
('Volvo', 'S90', 'Sedan', 2.1, 204, 'manuálna', 'benzín', 'zlatá', 32),
('Volvo', 'S90', 'Sedan', 3.1, 123, 'manuálna', 'benzín', 'zlatá', 89),
('Volvo', 'S90', 'Sedan', 2.9, 171, 'manuálna', 'benzín', 'hnedá', 95),
('Volvo', 'S90', 'Sedan', 2.5, 131, 'automatická', 'diesel', 'oranžová', 108),
('Volvo', 'S80', 'Sedan', 3.5, 222, 'automatická', 'benzín', 'hnedá', 103),
('Volvo', 'S80', 'Sedan', 2.3, 227, 'manuálna', 'LPG', 'zelená', 92),
('Volvo', 'S80', 'Sedan', 2.6, 193, 'automatická', 'benzín', 'karbónová', 106),
('Volvo', 'S80', 'Sedan', 2.1, 196, 'automatická', 'LPG', 'karbónová', 42),
('Volvo', 'S80', 'Sedan', 2.4, 158, 'manuálna', 'benzín', 'karbónová', 108),
('Volvo', 'S70', 'Sedan', 2.8, 101, 'automatická', 'diesel', 'èierna', 25),
('Volvo', 'S70', 'Sedan', 2.1, 247, 'automatická', 'diesel', 'biela', 26),
('Volvo', 'S70', 'Sedan', 2.2, 195, 'manuálna', 'LPG', 'žltá', 75),
('Volvo', 'S70', 'Sedan', 3, 271, 'manuálna', 'benzín', 'sivá', 115),
('Volvo', 'S70', 'Sedan', 3.4, 150, 'automatická', 'diesel', 'tmavomodrá', 57),
('Volvo', 'S60', 'Sedan', 2.8, 258, 'manuálna', 'LPG', 'modrá', 74),
('Volvo', 'S60', 'Sedan', 2.3, 95, 'automatická', 'benzín', 'tyrkysová', 20),
('Volvo', 'S60', 'Sedan', 2.5, 152, 'automatická', 'benzín', 'bronzová', 115),
('Volvo', 'S60', 'Sedan', 2.3, 160, 'manuálna', 'LPG', 'èervená', 50),
('Volvo', 'S60', 'Sedan', 2.7, 280, 'automatická', 'benzín', 'zlatá', 113),
('Volvo', 'S40 (New)', 'Sedan', 3.1, 237, 'manuálna', 'LPG', 'biela', 60),
('Volvo', 'S40 (New)', 'Sedan', 3.1, 251, 'automatická', 'benzín', 'hnedá', 62),
('Volvo', 'S40 (New)', 'Sedan', 2.7, 108, 'manuálna', 'benzín', 'zelená', 30),
('Volvo', 'S40 (New)', 'Sedan', 3.3, 116, 'manuálna', 'diesel', 'bordová', 31),
('Volvo', 'S40 (New)', 'Sedan', 2.3, 125, 'automatická', 'benzín', 'žltá', 80),
('Volvo', 'S40', 'Sedan', 3.5, 86, 'automatická', 'benzín', 'sivá', 68),
('Volvo', 'S40', 'Sedan', 2.3, 97, 'manuálna', 'LPG', 'hnedá', 71),
('Volvo', 'S40', 'Sedan', 3.4, 239, 'automatická', 'diesel', 'karbónová', 98),
('Volvo', 'S40', 'Sedan', 2.5, 93, 'automatická', 'benzín', 'žltá', 107),
('Volvo', 'S40', 'Sedan', 2.5, 158, 'manuálna', 'benzín', 'tmavomodrá', 77),
('Volvo', 'C70', 'Coupe', 3.1, 264, 'manuálna', 'benzín', 'zlatá', 105),
('Volvo', 'C70', 'Coupe', 2.7, 85, 'manuálna', 'benzín', 'biela', 92),
('Volvo', 'C70', 'Coupe', 3, 206, 'automatická', 'benzín', 'karbónová', 67),
('Volvo', 'C70', 'Coupe', 2.5, 102, 'automatická', 'benzín', 'sivá', 54),
('Volvo', 'C70', 'Coupe', 2.9, 269, 'manuálna', 'benzín', 'modrá', 44),
('Volvo', 'C30', 'Hatchback', 3.6, 212, 'automatická', 'LPG', 'zlatá', 35),
('Volvo', 'C30', 'Hatchback', 2.8, 250, 'manuálna', 'LPG', 'žltá', 24),
('Volvo', 'C30', 'Hatchback', 3.2, 101, 'manuálna', 'diesel', 'hnedá', 99),
('Volvo', 'C30', 'Hatchback', 3.3, 199, 'automatická', 'diesel', 'žltá', 84),
('Volvo', 'C30', 'Hatchback', 2.7, 181, 'manuálna', 'benzín', 'zelená', 71),
('Volvo', '960', 'Sedan', 2.8, 276, 'manuálna', 'diesel', 'biela', 40),
('Volvo', '960', 'Sedan', 3.3, 252, 'automatická', 'LPG', 'modrá', 87),
('Volvo', '960', 'Sedan', 2.7, 248, 'automatická', 'benzín', 'sivá', 28),
('Volvo', '960', 'Sedan', 3.2, 192, 'manuálna', 'benzín', 'tmavomodrá', 26),
('Volvo', '960', 'Sedan', 2.7, 142, 'automatická', 'benzín', 'strieborná', 64),
('Volvo', '940', 'Sedan', 2.3, 122, 'manuálna', 'LPG', 'tyrkysová', 105),
('Volvo', '940', 'Sedan', 2.7, 182, 'automatická', 'benzín', 'bordová', 59),
('Volvo', '940', 'Sedan', 2.2, 246, 'automatická', 'benzín', 'žltá', 32),
('Volvo', '940', 'Sedan', 2.1, 160, 'automatická', 'benzín', 'tmavomodrá', 95),
('Volvo', '940', 'Sedan', 3.3, 117, 'automatická', 'LPG', 'zlatá', 40),
('Volvo', '850', 'Sedan', 2.9, 94, 'automatická', 'LPG', 'žltá', 114),
('Volvo', '850', 'Sedan', 3.3, 107, 'automatická', 'benzín', 'bronzová', 81),
('Volvo', '850', 'Sedan', 2.3, 113, 'automatická', 'benzín', 'oranžová', 39),
('Volvo', '850', 'Sedan', 2.3, 193, 'manuálna', 'benzín', 'sivá', 112),
('Volvo', '850', 'Sedan', 2.1, 114, 'automatická', 'LPG', 'zlatá', 92),
('Volvo', '740', 'Kombi', 3.6, 115, 'manuálna', 'diesel', 'èervená', 33),
('Volvo', '740', 'Kombi', 2.4, 173, 'manuálna', 'LPG', 'èierna', 91),
('Volvo', '740', 'Kombi', 2.4, 214, 'automatická', 'LPG', 'bordová', 35),
('Volvo', '740', 'Kombi', 2.6, 155, 'manuálna', 'benzín', 'zlatá', 28),
('Volvo', '740', 'Kombi', 3.2, 210, 'automatická', 'diesel', 'karbónová', 99),
('Volvo', '240', 'Kombi', 3, 242, 'manuálna', 'benzín', 'bronzová', 105),
('Volvo', '240', 'Kombi', 2.8, 242, 'automatická', 'LPG', 'zelená', 55),
('Volvo', '240', 'Kombi', 2.9, 154, 'automatická', 'benzín', 'èierna', 81),
('Volvo', '240', 'Kombi', 3.6, 141, 'manuálna', 'diesel', 'sivá', 65),
('Volvo', '240', 'Kombi', 2.3, 89, 'automatická', 'diesel', 'bronzová', 29),
('Volkswagen', 'Touareg 2', 'SUV', 2, 230, 'manuálna', 'diesel', 'oranžová', 99),
('Volkswagen', 'Touareg 2', 'SUV', 2.5, 160, 'manuálna', 'diesel', 'biela', 40),
('Volkswagen', 'Touareg 2', 'SUV', 3.5, 212, 'manuálna', 'LPG', 'zelená', 82),
('Volkswagen', 'Touareg 2', 'SUV', 2.8, 271, 'automatická', 'benzín', 'èierna', 36),
('Volkswagen', 'Touareg 2', 'SUV', 3.5, 126, 'automatická', 'benzín', 'hnedá', 79),
('Volkswagen', 'Touareg', 'SUV', 3, 136, 'manuálna', 'diesel', 'žltá', 94),
('Volkswagen', 'Touareg', 'SUV', 3.2, 263, 'manuálna', 'benzín', 'biela', 94),
('Volkswagen', 'Touareg', 'SUV', 2.4, 224, 'manuálna', 'benzín', 'sivá', 36),
('Volkswagen', 'Touareg', 'SUV', 2.7, 170, 'manuálna', 'LPG', 'tmavomodrá', 79),
('Volkswagen', 'Touareg', 'SUV', 3.4, 128, 'manuálna', 'diesel', 'èierna', 65),
('Volkswagen', 'Tiguan Limited', 'SUV', 2.3, 201, 'automatická', 'LPG', 'bronzová', 74),
('Volkswagen', 'Tiguan Limited', 'SUV', 3.3, 100, 'automatická', 'diesel', 'tyrkysová', 49),
('Volkswagen', 'Tiguan Limited', 'SUV', 3, 98, 'automatická', 'benzín', 'bronzová', 35),
('Volkswagen', 'Tiguan Limited', 'SUV', 3.3, 139, 'manuálna', 'diesel', 'bronzová', 65),
('Volkswagen', 'Tiguan Limited', 'SUV', 3.5, 169, 'automatická', 'diesel', 'zlatá', 70),
('Volkswagen', 'Tiguan', 'SUV', 2.5, 257, 'manuálna', 'LPG', 'èierna', 31),
('Volkswagen', 'Tiguan', 'SUV', 3.4, 187, 'automatická', 'LPG', 'karbónová', 73),
('Volkswagen', 'Tiguan', 'SUV', 2.6, 87, 'automatická', 'diesel', 'bordová', 104),
('Volkswagen', 'Tiguan', 'SUV', 3.1, 249, 'manuálna', 'diesel', 'tmavomodrá', 90),
('Volkswagen', 'Tiguan', 'SUV', 3.1, 237, 'automatická', 'diesel', 'tyrkysová', 82),
('Volkswagen', 'Routan', 'Van/Minivan', 3, 181, 'automatická', 'diesel', 'modrá', 103),
('Volkswagen', 'Routan', 'Van/Minivan', 2.1, 191, 'automatická', 'LPG', 'sivá', 68),
('Volkswagen', 'Routan', 'Van/Minivan', 2.2, 186, 'manuálna', 'diesel', 'bordová', 43),
('Volkswagen', 'Routan', 'Van/Minivan', 3.1, 266, 'automatická', 'diesel', 'strieborná', 106),
('Volkswagen', 'Routan', 'Van/Minivan', 3.3, 240, 'automatická', 'LPG', 'èervená', 44),
('Volkswagen', 'Rabbit', 'Hatchback', 2.4, 191, 'automatická', 'diesel', 'karbónová', 102),
('Volkswagen', 'Rabbit', 'Hatchback', 3.6, 228, 'manuálna', 'LPG', 'oranžová', 23),
('Volkswagen', 'Rabbit', 'Hatchback', 2.4, 193, 'manuálna', 'diesel', 'oranžová', 64),
('Volkswagen', 'Rabbit', 'Hatchback', 3.5, 243, 'automatická', 'benzín', 'tmavomodrá', 52),
('Volkswagen', 'Rabbit', 'Hatchback', 2.5, 94, 'manuálna', 'diesel', 'strieborná', 50),
('Volkswagen', 'R32', 'Hatchback', 2.2, 245, 'automatická', 'benzín', 'sivá', 66),
('Volkswagen', 'R32', 'Hatchback', 3.2, 197, 'manuálna', 'benzín', 'hnedá', 86),
('Volkswagen', 'R32', 'Hatchback', 3.6, 243, 'manuálna', 'LPG', 'tmavomodrá', 117),
('Volkswagen', 'R32', 'Hatchback', 3, 243, 'automatická', 'benzín', 'žltá', 45),
('Volkswagen', 'R32', 'Hatchback', 3.3, 140, 'automatická', 'benzín', 'žltá', 113),
('Volkswagen', 'Phaeton', 'Sedan', 3, 139, 'manuálna', 'LPG', 'strieborná', 110),
('Volkswagen', 'Phaeton', 'Sedan', 2.9, 205, 'manuálna', 'diesel', 'hnedá', 20),
('Volkswagen', 'Phaeton', 'Sedan', 2.2, 253, 'automatická', 'benzín', 'strieborná', 36),
('Volkswagen', 'Phaeton', 'Sedan', 2.6, 82, 'manuálna', 'LPG', 'karbónová', 111),
('Volkswagen', 'Phaeton', 'Sedan', 3.1, 105, 'manuálna', 'benzín', 'tyrkysová', 93),
('Volkswagen', 'Passat (New)', 'Sedan', 3.2, 144, 'automatická', 'benzín', 'biela', 101),
('Volkswagen', 'Passat (New)', 'Sedan', 2.5, 146, 'automatická', 'benzín', 'modrá', 119),
('Volkswagen', 'Passat (New)', 'Sedan', 3.6, 278, 'manuálna', 'LPG', 'bronzová', 95),
('Volkswagen', 'Passat (New)', 'Sedan', 2.7, 216, 'automatická', 'benzín', 'biela', 49),
('Volkswagen', 'Passat (New)', 'Sedan', 3.2, 182, 'automatická', 'benzín', 'modrá', 38),
('Volkswagen', 'Passat', 'Sedan', 3.2, 251, 'automatická', 'LPG', 'tmavomodrá', 79),
('Volkswagen', 'Passat', 'Sedan', 2.2, 214, 'automatická', 'diesel', 'bordová', 58),
('Volkswagen', 'Passat', 'Sedan', 2.4, 140, 'manuálna', 'diesel', 'zelená', 35),
('Volkswagen', 'Passat', 'Sedan', 2, 279, 'manuálna', 'diesel', 'bordová', 118),
('Volkswagen', 'Passat', 'Sedan', 2.1, 83, 'automatická', 'diesel', 'karbónová', 68),
('Volkswagen', 'New Beetle', 'Hatchback', 2.2, 212, 'manuálna', 'benzín', 'tyrkysová', 97),
('Volkswagen', 'New Beetle', 'Hatchback', 3.6, 120, 'manuálna', 'diesel', 'tyrkysová', 42),
('Volkswagen', 'New Beetle', 'Hatchback', 3.1, 95, 'manuálna', 'LPG', 'tmavomodrá', 34),
('Volkswagen', 'New Beetle', 'Hatchback', 3.2, 193, 'automatická', 'diesel', 'bordová', 116),
('Volkswagen', 'New Beetle', 'Hatchback', 2.1, 154, 'manuálna', 'benzín', 'zlatá', 101),
('Volkswagen', 'Jetta SportWagen', 'Kombi', 2.6, 185, 'manuálna', 'benzín', 'tmavomodrá', 76),
('Volkswagen', 'Jetta SportWagen', 'Kombi', 3, 240, 'manuálna', 'LPG', 'žltá', 54),
('Volkswagen', 'Jetta SportWagen', 'Kombi', 3.2, 126, 'manuálna', 'benzín', 'tyrkysová', 72),
('Volkswagen', 'Jetta SportWagen', 'Kombi', 3.1, 258, 'manuálna', 'benzín', 'hnedá', 109),
('Volkswagen', 'Jetta SportWagen', 'Kombi', 2.4, 248, 'manuálna', 'diesel', 'tyrkysová', 29),
('Volkswagen', 'Jetta III', 'Sedan', 2.5, 188, 'manuálna', 'benzín', 'tyrkysová', 111),
('Volkswagen', 'Jetta III', 'Sedan', 2.1, 251, 'manuálna', 'diesel', 'žltá', 23),
('Volkswagen', 'Jetta III', 'Sedan', 2.8, 94, 'automatická', 'benzín', 'bronzová', 45),
('Volkswagen', 'Jetta III', 'Sedan', 2.1, 100, 'automatická', 'benzín', 'èervená', 85),
('Volkswagen', 'Jetta III', 'Sedan', 2.6, 92, 'manuálna', 'diesel', 'oranžová', 71),
('Volkswagen', 'Jetta (New)', 'Sedan', 2.5, 95, 'automatická', 'benzín', 'èervená', 100),
('Volkswagen', 'Jetta (New)', 'Sedan', 3.5, 189, 'manuálna', 'LPG', 'bordová', 23),
('Volkswagen', 'Jetta (New)', 'Sedan', 2.1, 104, 'manuálna', 'diesel', 'žltá', 37),
('Volkswagen', 'Jetta (New)', 'Sedan', 2.6, 127, 'manuálna', 'diesel', 'hnedá', 100),
('Volkswagen', 'Jetta (New)', 'Sedan', 3, 143, 'automatická', 'LPG', 'karbónová', 120),
('Volkswagen', 'Jetta', 'Sedan', 2.6, 138, 'automatická', 'LPG', 'biela', 94),
('Volkswagen', 'Jetta', 'Sedan', 2.8, 243, 'manuálna', 'diesel', 'biela', 71),
('Volkswagen', 'Jetta', 'Sedan', 3.2, 180, 'manuálna', 'LPG', 'zelená', 87),
('Volkswagen', 'Jetta', 'Sedan', 2.1, 82, 'automatická', 'diesel', 'strieborná', 88),
('Volkswagen', 'Jetta', 'Sedan', 3.2, 270, 'manuálna', 'diesel', 'tmavomodrá', 24),
('Volkswagen', 'GTI (New)', 'Hatchback', 2.9, 202, 'manuálna', 'benzín', 'hnedá', 46),
('Volkswagen', 'GTI (New)', 'Hatchback', 2.5, 230, 'automatická', 'diesel', 'bordová', 97),
('Volkswagen', 'GTI (New)', 'Hatchback', 2.8, 115, 'automatická', 'diesel', 'zlatá', 95),
('Volkswagen', 'GTI (New)', 'Hatchback', 2.9, 235, 'automatická', 'benzín', 'tyrkysová', 46),
('Volkswagen', 'GTI (New)', 'Hatchback', 3.2, 92, 'automatická', 'LPG', 'zlatá', 24),
('Volkswagen', 'GTI', 'Hatchback', 2.1, 158, 'manuálna', 'benzín', 'žltá', 72),
('Volkswagen', 'GTI', 'Hatchback', 3.5, 273, 'automatická', 'benzín', 'zelená', 93),
('Volkswagen', 'GTI', 'Hatchback', 3.6, 136, 'manuálna', 'LPG', 'karbónová', 106),
('Volkswagen', 'GTI', 'Hatchback', 2.4, 131, 'automatická', 'benzín', 'oranžová', 56),
('Volkswagen', 'GTI', 'Hatchback', 3.4, 246, 'manuálna', 'benzín', 'zlatá', 86),
('Volkswagen', 'Golf SportWagen', 'Kombi', 2.8, 208, 'manuálna', 'diesel', 'biela', 61),
('Volkswagen', 'Golf SportWagen', 'Kombi', 2.3, 174, 'automatická', 'diesel', 'zelená', 35),
('Volkswagen', 'Golf SportWagen', 'Kombi', 2.7, 146, 'automatická', 'benzín', 'èierna', 35),
('Volkswagen', 'Golf SportWagen', 'Kombi', 2.7, 173, 'manuálna', 'LPG', 'hnedá', 21),
('Volkswagen', 'Golf SportWagen', 'Kombi', 3.2, 87, 'automatická', 'LPG', 'hnedá', 110),
('Volkswagen', 'Golf R', 'Hatchback', 2.5, 183, 'automatická', 'diesel', 'tmavomodrá', 103),
('Volkswagen', 'Golf R', 'Hatchback', 2.3, 91, 'automatická', 'benzín', 'karbónová', 51),
('Volkswagen', 'Golf R', 'Hatchback', 3, 268, 'manuálna', 'benzín', 'zlatá', 95),
('Volkswagen', 'Golf R', 'Hatchback', 3.2, 205, 'automatická', 'benzín', 'tmavomodrá', 86),
('Volkswagen', 'Golf R', 'Hatchback', 2.3, 88, 'manuálna', 'benzín', 'èierna', 37),
('Volkswagen', 'Golf III', 'Hatchback', 2.7, 100, 'automatická', 'LPG', 'bronzová', 75),
('Volkswagen', 'Golf III', 'Hatchback', 2.2, 192, 'manuálna', 'benzín', 'zelená', 46),
('Volkswagen', 'Golf III', 'Hatchback', 3.1, 179, 'automatická', 'benzín', 'zelená', 110),
('Volkswagen', 'Golf III', 'Hatchback', 2.8, 116, 'manuálna', 'benzín', 'oranžová', 94),
('Volkswagen', 'Golf III', 'Hatchback', 3.6, 226, 'automatická', 'benzín', 'èierna', 60),
('Volkswagen', 'Golf GTI', 'Hatchback', 3.4, 180, 'automatická', 'benzín', 'hnedá', 61),
('Volkswagen', 'Golf GTI', 'Hatchback', 3.1, 192, 'manuálna', 'diesel', 'biela', 46),
('Volkswagen', 'Golf GTI', 'Hatchback', 3.4, 151, 'manuálna', 'benzín', 'modrá', 97),
('Volkswagen', 'Golf GTI', 'Hatchback', 3.5, 276, 'manuálna', 'diesel', 'hnedá', 29),
('Volkswagen', 'Golf GTI', 'Hatchback', 3, 278, 'manuálna', 'diesel', 'modrá', 67),
('Volkswagen', 'Golf Alltrack', 'Kombi', 3, 244, 'automatická', 'benzín', 'zelená', 116),
('Volkswagen', 'Golf Alltrack', 'Kombi', 2.3, 218, 'automatická', 'diesel', 'žltá', 82),
('Volkswagen', 'Golf Alltrack', 'Kombi', 2.3, 141, 'automatická', 'benzín', 'strieborná', 82),
('Volkswagen', 'Golf Alltrack', 'Kombi', 3.3, 163, 'manuálna', 'benzín', 'biela', 96),
('Volkswagen', 'Golf Alltrack', 'Kombi', 2.2, 174, 'manuálna', 'diesel', 'oranžová', 92),
('Volkswagen', 'Golf (New)', 'Hatchback', 2.5, 249, 'manuálna', 'diesel', 'zelená', 87),
('Volkswagen', 'Golf (New)', 'Hatchback', 2.1, 250, 'automatická', 'LPG', 'strieborná', 45),
('Volkswagen', 'Golf (New)', 'Hatchback', 2.2, 234, 'manuálna', 'LPG', 'modrá', 93),
('Volkswagen', 'Golf (New)', 'Hatchback', 2.5, 157, 'automatická', 'LPG', 'èierna', 69),
('Volkswagen', 'Golf (New)', 'Hatchback', 3.3, 200, 'automatická', 'diesel', 'zelená', 83),
('Volkswagen', 'Golf', 'Hatchback', 2, 135, 'automatická', 'LPG', 'oranžová', 69),
('Volkswagen', 'Golf', 'Hatchback', 2, 179, 'manuálna', 'diesel', 'èierna', 65),
('Volkswagen', 'Golf', 'Hatchback', 3.1, 260, 'manuálna', 'LPG', 'èierna', 120),
('Volkswagen', 'Golf', 'Hatchback', 2.1, 98, 'automatická', 'diesel', 'žltá', 26),
('Volkswagen', 'Golf', 'Hatchback', 2.7, 120, 'manuálna', 'diesel', 'žltá', 20),
('Volkswagen', 'GLI', 'Sedan', 3.1, 157, 'automatická', 'LPG', 'karbónová', 107),
('Volkswagen', 'GLI', 'Sedan', 3, 232, 'manuálna', 'LPG', 'sivá', 48),
('Volkswagen', 'GLI', 'Sedan', 2.8, 171, 'automatická', 'diesel', 'karbónová', 91),
('Volkswagen', 'GLI', 'Sedan', 3.5, 85, 'manuálna', 'diesel', 'karbónová', 34),
('Volkswagen', 'GLI', 'Sedan', 2.3, 268, 'manuálna', 'LPG', 'hnedá', 96),
('Volkswagen', 'Fox', 'Sedan', 2.4, 207, 'automatická', 'benzín', 'karbónová', 85),
('Volkswagen', 'Fox', 'Sedan', 3.2, 103, 'automatická', 'benzín', 'hnedá', 100),
('Volkswagen', 'Fox', 'Sedan', 2.2, 207, 'automatická', 'LPG', 'tyrkysová', 86),
('Volkswagen', 'Fox', 'Sedan', 3.2, 270, 'automatická', 'benzín', 'žltá', 41),
('Volkswagen', 'Fox', 'Sedan', 2.7, 94, 'automatická', 'diesel', 'tyrkysová', 73),
('Volkswagen', 'Eurovan', 'Van/Minivan', 2.5, 103, 'manuálna', 'diesel', 'biela', 73),
('Volkswagen', 'Eurovan', 'Van/Minivan', 3.4, 165, 'manuálna', 'diesel', 'strieborná', 101),
('Volkswagen', 'Eurovan', 'Van/Minivan', 2.4, 137, 'automatická', 'benzín', 'strieborná', 36),
('Volkswagen', 'Eurovan', 'Van/Minivan', 3.4, 185, 'manuálna', 'LPG', 'žltá', 27),
('Volkswagen', 'Eurovan', 'Van/Minivan', 2.4, 104, 'manuálna', 'benzín', 'èervená', 81),
('Volkswagen', 'Eos', 'Kabrio', 2.5, 106, 'automatická', 'benzín', 'sivá', 50),
('Volkswagen', 'Eos', 'Kabrio', 3.3, 150, 'automatická', 'LPG', 'hnedá', 97),
('Volkswagen', 'Eos', 'Kabrio', 2.2, 275, 'automatická', 'diesel', 'bronzová', 38),
('Volkswagen', 'Eos', 'Kabrio', 3.3, 125, 'manuálna', 'benzín', 'zelená', 68),
('Volkswagen', 'Eos', 'Kabrio', 3, 189, 'manuálna', 'benzín', 'sivá', 54),
('Volkswagen', 'e-Golf', 'Hatchback', 2.5, 195, 'manuálna', 'LPG', 'bordová', 66),
('Volkswagen', 'e-Golf', 'Hatchback', 3.1, 116, 'manuálna', 'benzín', 'tmavomodrá', 35),
('Volkswagen', 'e-Golf', 'Hatchback', 3, 223, 'automatická', 'benzín', 'karbónová', 68),
('Volkswagen', 'e-Golf', 'Hatchback', 3.5, 182, 'automatická', 'benzín', 'bordová', 115),
('Volkswagen', 'e-Golf', 'Hatchback', 3.3, 86, 'manuálna', 'diesel', 'žltá', 53),
('Volkswagen', 'Corrado', 'Coupe', 2.6, 254, 'automatická', 'benzín', 'tmavomodrá', 20),
('Volkswagen', 'Corrado', 'Coupe', 2.5, 238, 'manuálna', 'diesel', 'hnedá', 95),
('Volkswagen', 'Corrado', 'Coupe', 2.3, 133, 'automatická', 'benzín', 'zlatá', 86),
('Volkswagen', 'Corrado', 'Coupe', 2.9, 120, 'manuálna', 'benzín', 'zlatá', 42),
('Volkswagen', 'Corrado', 'Coupe', 3.2, 120, 'automatická', 'LPG', 'èierna', 112),
('Volkswagen', 'CC', 'Sedan', 3.4, 140, 'automatická', 'diesel', 'tyrkysová', 20),
('Volkswagen', 'CC', 'Sedan', 2, 189, 'automatická', 'benzín', 'tyrkysová', 21),
('Volkswagen', 'CC', 'Sedan', 3.2, 111, 'manuálna', 'diesel', 'oranžová', 73),
('Volkswagen', 'CC', 'Sedan', 2.2, 226, 'automatická', 'diesel', 'strieborná', 106),
('Volkswagen', 'CC', 'Sedan', 2.1, 107, 'manuálna', 'diesel', 'modrá', 75),
('Volkswagen', 'Cabriolet', 'Kabrio', 3, 187, 'automatická', 'LPG', 'hnedá', 100),
('Volkswagen', 'Cabriolet', 'Kabrio', 2.7, 112, 'automatická', 'diesel', 'bordová', 68),
('Volkswagen', 'Cabriolet', 'Kabrio', 2.7, 254, 'automatická', 'benzín', 'èervená', 82),
('Volkswagen', 'Cabriolet', 'Kabrio', 3, 192, 'automatická', 'LPG', 'žltá', 102),
('Volkswagen', 'Cabriolet', 'Kabrio', 3.1, 108, 'automatická', 'diesel', 'hnedá', 53),
('Volkswagen', 'Cabrio (New)', 'Kabrio', 2.2, 278, 'automatická', 'benzín', 'hnedá', 35),
